,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,time,meeting_name,title,flag
8,5,2,2,2,2,5,5,5,4,2,2,2,5,5,5,5,2,2,5,1,5,5,5,2,2,2,5,5,5,5,2,5,5,2,5,5,1,5,5,5,5,1,2,5,4,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,2,5,5,5,5,2,5,1,2,2,5,1,1,1,5,4,2,5,2,5,5,4,5,5,4,5,5,5,2,5,5,5,4,5,1,5,5,5,2,5,2,5,5,5,5,2,1,5,5,2,5,5,4,4,2,1,5,5,4,2,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,5,4,5,2,2,1,5,2,2,2,1,5,5,4,5,5,4,2,5,5,2,5,5,5,5,4,5,5,5,5,2,2,5,2,5,2,5,1,5,5,5,5,5,1,5,1,2,5,1,2,5,5,2,4,2,4,5,2,5,5,2,4,2,5,1,2,5,5,5,5,1,5,1,5,5,2,5,5,2,2,5,5,2,4,5,5,5,5,5,5,5,2,5,5,5,5,1,2,5,4,5,2,5,5,5,2,5,2,5,2,5,1,5,5,5,5,4,4,5,5,4,1,5,1,2,5,5,5,5,4,5,5,5,5,2,5,2022-05-31,第10屆第5會期第14次會議,(9)「討論事項第六案委員柯建銘等所提復議案不予通過」部分：出席人數：90 ,0
9,5,1,1,1,4,5,5,5,4,1,1,1,5,5,5,5,1,4,5,4,5,5,5,1,1,1,5,5,5,5,4,5,5,1,5,5,4,5,5,5,5,4,4,5,3,5,1,1,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,2,5,5,5,5,1,5,4,1,1,5,4,4,4,5,4,1,5,1,5,5,4,5,5,4,5,5,5,1,5,5,5,1,5,4,5,5,5,4,5,1,5,5,5,5,1,4,5,5,1,5,5,4,4,1,2,5,5,4,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,4,5,1,1,2,5,1,1,1,4,5,5,4,5,5,3,1,5,5,1,5,5,5,5,4,5,5,5,5,1,1,5,1,5,1,5,4,5,5,5,5,5,2,5,4,1,5,4,1,5,5,1,3,1,1,5,1,5,5,1,3,1,5,3,1,5,5,5,5,4,5,4,5,5,1,5,5,4,1,5,5,1,4,5,5,5,5,5,5,5,1,5,5,5,5,3,1,5,4,5,1,5,5,5,1,5,1,5,4,5,4,5,5,5,5,4,4,5,5,3,4,5,4,1,5,5,5,5,4,5,5,5,5,1,5,2022-05-31,第10屆第5會期第14次會議,(10)「討論事項第七案公務員服務法第五條照民進黨黨團修正動議條文予以通過」部分：出席人數：71 ,0
10,5,1,1,1,4,5,5,5,4,1,1,1,5,5,5,5,1,4,5,4,5,5,5,1,1,1,5,5,5,5,4,5,5,1,5,5,4,5,5,5,5,4,4,5,3,5,1,1,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,4,5,5,5,5,1,5,4,1,1,5,4,4,4,5,4,1,5,1,5,5,4,5,5,4,5,5,5,1,5,5,5,1,5,4,5,5,5,4,5,1,5,5,5,5,1,4,5,5,1,5,5,4,4,1,4,5,5,4,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,4,5,1,1,4,5,1,1,1,4,5,5,4,5,5,4,1,5,5,1,5,5,5,5,4,5,5,5,5,1,1,5,1,5,1,5,4,5,5,5,5,5,4,5,4,1,5,4,1,5,5,1,3,1,1,5,1,5,5,1,3,1,5,2,1,5,5,5,5,4,5,4,5,5,1,5,5,4,1,5,5,1,4,5,5,5,5,5,5,5,1,5,5,5,5,2,1,5,4,5,1,5,5,5,1,5,1,5,4,5,4,5,5,5,5,4,4,5,5,3,4,5,4,1,5,5,5,5,4,5,5,5,5,1,5,2022-05-31,第10屆第5會期第14次會議,(11)「討論事項第八案公務人員保障法第二十三條照民進黨黨團修正動議條文予以通過」部分：出席人數：64 ,0
11,5,1,1,1,1,5,5,5,4,1,1,4,5,5,5,5,1,2,5,2,5,5,5,4,1,1,5,5,5,5,4,5,5,1,5,5,2,5,5,5,5,2,2,5,3,5,1,4,5,5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,2,5,5,5,5,4,5,2,1,1,5,2,2,2,5,4,1,5,1,5,5,4,5,5,4,5,5,5,1,5,5,5,4,5,2,5,5,5,2,5,1,5,5,5,5,1,4,5,5,1,5,5,4,4,1,2,5,5,4,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,4,5,1,1,2,5,1,1,1,2,5,5,4,5,5,3,1,5,5,1,5,5,5,5,4,5,5,5,5,1,1,5,1,5,1,5,2,5,5,5,5,5,2,5,2,1,5,4,1,5,5,1,3,1,4,5,1,5,5,1,3,1,5,1,1,5,5,5,5,2,5,2,5,5,1,5,5,2,1,5,5,1,4,5,5,5,5,5,5,5,1,5,5,5,5,1,4,5,4,5,1,5,5,5,1,5,4,5,2,5,4,5,5,5,5,2,1,5,5,3,4,5,2,1,5,5,5,5,4,5,5,5,5,1,5,2022-05-31,第10屆第5會期第14次會議,(12)「討論事項第二十五案帅兒教育及照顧法第三十條照民進黨黨團修正動議條文予以通過」部分：出席人數：86 ,0
12,5,4,1,1,1,5,5,5,4,1,1,1,5,5,5,5,1,3,5,4,5,5,5,1,1,1,5,5,5,5,4,5,5,1,5,5,4,5,5,5,5,4,4,5,4,5,1,1,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,4,5,5,5,5,1,5,4,1,4,5,4,4,4,5,4,1,5,1,5,5,4,5,5,4,5,5,5,1,5,5,5,4,5,4,5,5,5,4,5,1,5,5,5,5,1,3,5,5,1,5,5,4,4,1,4,5,5,4,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,4,5,4,1,4,5,1,1,1,4,5,5,4,5,5,4,1,5,5,1,5,5,5,5,4,5,5,5,5,1,1,5,1,5,1,5,4,5,5,5,5,5,4,5,4,1,5,4,1,5,5,1,4,1,4,5,4,5,5,1,3,1,5,2,1,5,5,5,5,4,5,4,5,5,1,5,5,4,1,5,5,1,4,5,5,5,5,5,5,5,4,5,5,5,5,2,1,5,4,5,4,5,5,5,1,5,1,5,4,5,4,5,5,5,5,4,4,5,5,4,4,5,4,1,5,5,5,5,4,5,5,5,5,1,5,2022-05-31,第10屆第5會期第14次會議,(13)「民進黨黨團針對議事日程草案提議討論事項僅限列議案共 26 案予以通過」部分：出席人數：57 ,0
13,5,4,2,2,2,5,5,5,4,2,2,2,5,5,5,5,2,3,5,4,5,5,5,2,2,2,5,5,5,5,4,5,5,2,5,5,4,5,5,5,5,4,4,5,4,5,2,2,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,4,5,5,5,5,2,5,4,2,2,5,4,4,4,5,4,2,5,2,5,5,4,5,5,4,5,5,5,2,5,5,5,4,5,4,5,5,5,4,5,2,5,5,5,5,2,3,5,5,2,5,5,4,4,2,3,5,5,4,2,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,5,4,5,2,2,4,5,2,2,2,3,5,5,4,5,5,4,2,5,5,2,5,5,5,5,4,5,5,5,5,2,2,5,2,5,2,5,4,5,5,5,5,5,4,5,4,2,5,4,2,5,5,2,4,2,4,5,4,5,5,2,4,2,5,1,2,5,5,5,5,4,5,3,5,5,2,5,5,3,2,5,5,2,4,5,5,5,5,5,5,5,2,5,5,5,5,1,2,5,4,5,2,5,5,5,2,5,2,5,4,5,4,5,5,5,5,4,4,5,5,4,4,5,4,2,5,5,5,5,4,5,5,5,5,2,5,2022-05-31,第10屆第5會期第14次會議,(14)「時代力量黨團提議變更議程不予通過」部分：出席人數：65 ,0
0,5,2,2,2,2,5,5,5,1,2,4,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,4,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,1,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,1,2,5,5,5,5,4,5,4,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,1,2,5,1,3,2,5,5,5,2,5,2,5,4,5,4,2,5,5,5,4,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(1)「討論事項第一案通案部分第 13 案不予通過」部分：出席人數：90 ,0
1,5,2,2,2,2,5,5,5,1,2,4,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,2,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,2,2,5,5,5,5,4,5,4,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,2,2,5,1,3,2,5,5,5,2,5,2,5,4,5,4,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(2)「討論事項第一案內政委員會第 1 案不予通過」部分：出席人數：92 ,0
2,5,2,2,2,2,5,5,5,1,2,4,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,2,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,2,2,5,5,5,5,4,5,4,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,2,2,5,1,3,2,5,5,5,2,5,2,5,4,5,4,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(3)「討論事項第一案內政委員會第 2 案不予通過」部分：出席人數：93 ,0
3,5,2,2,2,2,5,5,5,1,2,4,2,5,5,5,5,2,1,5,1,1,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,1,5,2,2,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,1,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,1,2,5,1,2,5,5,5,5,4,5,4,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,1,2,5,1,1,2,5,5,5,2,5,2,5,4,5,4,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(4)「討論事項第一案內政委員會第 3 案不予通過」部分：出席人數：93 ,0
4,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,1,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,1,5,2,2,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,3,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,1,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,3,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,1,2,5,1,2,5,5,5,5,4,5,4,5,5,2,5,5,1,2,5,5,2,3,5,5,5,5,5,5,5,4,5,5,5,5,1,2,5,1,1,2,5,5,5,2,5,2,5,4,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(5)「討論事項第一案內政委員會第 7 案不予通過」部分：出席人數：95 ,0
5,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,1,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,1,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,3,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,1,2,5,3,2,5,5,5,5,4,5,4,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,3,2,5,1,1,2,5,5,5,2,5,2,5,4,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(6)「討論事項第一案內政委員會第 19 案不予通過」部分：出席人數：96 ,0
6,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,3,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,3,2,5,5,5,5,4,5,1,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,3,2,5,1,3,2,5,5,5,2,5,2,5,4,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(7)「討論事項第一案內政委員會第 56 案不予通過」部分：出席人數：97 ,0
7,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,3,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,3,2,5,5,5,5,4,5,1,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,3,2,5,1,3,2,5,5,5,2,5,2,5,4,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(8)「討論事項第一案內政委員會第 60 案不予通過」部分：出席人數：97 ,0
8,5,2,2,2,2,5,5,5,3,2,2,2,5,5,5,5,2,3,5,3,1,5,5,2,2,2,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,4,4,5,1,5,2,2,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,3,5,5,5,5,2,5,3,2,2,5,3,3,3,5,4,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,3,5,2,5,5,5,5,2,3,5,5,2,5,5,3,4,2,3,5,5,1,2,5,5,5,5,2,5,5,5,3,5,5,5,5,2,5,5,5,3,5,2,2,3,5,2,2,2,3,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,3,5,4,2,5,3,2,5,5,2,4,2,2,5,2,5,5,2,1,2,5,1,2,5,5,5,5,4,5,3,5,5,2,5,5,3,2,5,5,2,3,5,5,5,5,5,5,5,4,5,5,5,5,1,2,5,3,1,2,5,5,5,2,5,2,5,4,5,3,2,5,5,5,3,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(9)「討論事項第一案內政委員會第 83 案不予通過」部分：出席人數：96 ,0
9,5,2,2,2,2,5,5,5,3,2,2,2,5,5,5,5,2,3,5,3,1,5,5,2,2,2,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,4,4,5,1,5,2,2,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,3,5,5,5,5,2,5,3,2,2,5,3,3,3,5,4,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,3,5,2,5,5,5,5,2,3,5,5,2,5,5,3,4,2,3,5,5,1,2,5,5,5,5,2,5,5,5,3,5,5,5,5,2,5,5,5,3,5,2,2,3,5,2,2,2,3,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,3,5,4,2,5,3,2,5,5,2,4,2,2,5,2,5,5,2,1,2,5,1,2,5,5,5,5,4,5,3,5,5,2,5,5,3,2,5,5,2,3,5,5,5,5,5,5,5,4,5,5,5,5,1,2,5,3,1,2,5,5,5,2,5,2,5,3,5,3,2,5,5,5,3,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(10)「討論事項第一案內政委員會第 174 案不予通過」部分：出席人數：97 ,0
10,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,3,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,3,2,5,5,5,5,4,5,1,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,3,2,5,1,3,2,5,5,5,2,5,2,5,1,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(11)「討論事項第一案內政委員會第 210 案不予通過」部分：出席人數：98 ,0
11,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,2,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,2,2,5,5,5,5,4,5,1,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,2,2,5,1,3,2,5,5,5,2,5,2,5,1,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(12)「討論事項第一案內政委員會第 217 案不予通過」部分：出席人數：98 ,0
12,5,2,2,2,2,5,5,5,1,2,2,2,5,5,5,5,2,1,5,1,3,5,5,2,2,2,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,4,5,3,5,2,2,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,1,5,5,5,5,2,5,1,2,2,5,1,1,1,5,2,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,1,5,2,5,5,5,5,2,1,5,5,2,5,5,1,4,2,1,5,5,3,2,5,5,5,5,2,5,5,5,1,5,5,5,5,2,5,5,5,1,5,2,2,1,5,2,2,2,1,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,1,5,4,2,5,1,2,5,5,2,4,2,2,5,2,5,5,2,3,2,5,3,2,5,5,5,5,4,5,1,5,5,2,5,5,1,2,5,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,3,2,5,1,3,2,5,5,5,2,5,2,5,1,5,1,2,5,5,5,1,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(13)「討論事項第一案內政委員會第 221 案不予通過」部分：出席人數：98 ,0
13,5,2,2,2,2,5,5,5,3,2,2,2,5,5,5,5,2,3,5,3,1,5,5,2,2,2,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,4,4,5,1,5,2,2,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,3,5,5,5,5,2,5,3,2,2,5,3,3,3,5,4,2,5,2,5,5,4,5,5,2,5,5,5,2,5,5,5,4,5,4,5,5,5,3,5,2,5,5,5,5,2,3,5,5,2,5,5,3,4,2,3,5,5,1,2,5,5,5,5,2,5,5,5,3,5,5,5,5,2,5,5,5,3,5,2,2,3,5,2,2,2,3,5,5,4,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,5,5,5,5,5,3,5,4,2,5,3,2,5,5,2,4,2,2,5,2,5,5,2,1,2,5,1,2,5,5,5,5,4,5,3,5,5,2,5,5,3,2,5,5,2,4,5,5,5,5,5,5,5,4,5,5,5,5,1,2,5,3,1,2,5,5,5,2,5,2,5,3,5,3,2,5,5,5,3,2,5,5,5,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,2023-01-19,第10屆第6會期第16次會議,(14)「討論事項第一案內政委員會第 244 案不予通過」部分：出席人數：96 ,0
